SZ300340,,-12.19,-29.15
SZ300341,4.92,12.95,5.60
SZ300342,1.13,5.03,-24.07
SZ300343,0.60,3.00,12.83
SZ300344,-16.14,-32.14,-7.63
SZ300345,-14.60,-20.18,-3.06
SZ300346,5.95,20.95,9.48
SZ300347,1.87,11.16,-3.21
SZ300348,-0.91,-2.88,-5.64
SZ300349,3.03,8.79,3.69
SZ300350,0.23,1.03,17.69
SZ300351,2.22,6.16,20.65
SZ300352,-7.20,-91.46,-53.72
SZ300353,-4.19,-23.75,-7.13
SZ300354,9.70,26.77,2.44
SZ300355,1.17,7.36,19.40
SZ300356,-7.96,-163.87,-59.02
SZ300357,7.28,35.20,12.81
SZ300358,-0.30,-0.64,-14.55
SZ300359,-5.58,-27.50,-36.58
SZ300360,8.31,39.49,-12.88
SZ300361,37.47,13.37,33.62
SZ300362,-13.95,-47.10,-2.47
SZ300363,0.52,-0.34,19.88
SZ300364,-25.86,-40.71,20.40
SZ300365,0.33,1.58,78.31
SZ300366,-6.27,-38.56,-16.89
SZ300367,,-2480.78,85.30
SZ300368,-26.40,-49.90,-32.99
SZ300369,-6.94,-21.42,0.03
SZ300371,3.68,19.56,51.67
SZ300372,,-1087.95,-79.89
SZ300373,6.63,17.28,20.58
SZ300374,-4.34,-4.24,5.73
SZ300375,1.21,2.04,18.24
SZ300376,1.26,5.26,2.30
SZ300377,-3.14,-14.17,-7.84
SZ300378,2.00,4.22,4.08
SZ300379,-1.78,-22.99,48.85
SZ300380,3.07,1.36,14.49
SZ300381,0.53,3.51,4.48
SZ300382,-0.98,-4.44,37.62
SZ300383,0.90,3.22,-5.15
SZ300384,5.35,29.65,-24.49
SZ300385,-52.76,-47.53,-29.86
SZ300386,0.41,1.66,9.83
SZ300387,4.37,9.26,6.50
SZ300389,7.47,6.21,1.15
SZ300392,,-7459.61,-98.06
SZ300393,-5.15,-4.45,7.25
SZ300394,20.13,36.62,57.84
SZ300395,5.24,22.99,-0.77
SZ300396,-1.40,-8.07,-60.07
SZ300398,4.82,15.41,3.80
SZ300399,1.52,3.42,-3.54
SZ300400,6.51,14.47,12.44
SZ300401,4.92,25.43,5.86
SZ300402,2.17,4.36,-19.96
SZ300403,5.70,20.49,3.63
SZ300404,1.58,4.86,5.88
SZ300405,-5.56,-9.32,-16.35
SZ300406,4.22,26.29,-18.67
SZ300407,1.10,2.10,24.11
SZ300408,6.04,29.82,21.05
SZ300409,3.11,6.83,-11.64
SZ300410,7.22,4.02,7.71
SZ300411,1.45,8.11,-26.21
SZ300412,0.70,2.69,1.29
SZ300413,3.35,12.79,-14.31
SZ300414,1.08,4.83,10.31
SZ300415,11.01,12.90,15.89
SZ300416,4.44,13.51,8.09
SZ300417,-0.25,-4.46,71.85
SZ300418,-6.19,-30.74,49.23
SZ300419,-1.59,-6.96,-41.74
SZ300420,0.99,5.69,1.56
SZ300421,2.96,7.02,4.53
SZ300422,-3.66,-3.87,21.82
SZ300423,0.32,0.85,-21.06
SZ300424,2.16,2.60,0.95
SZ300425,0.31,1.53,12.01
SZ300426,-20.40,-158.34,-19.68
SZ300427,1.56,6.34,-12.29
SZ300428,5.32,2.81,15.41
SZ300429,-0.91,-3.60,-1.58
SZ300430,2.27,10.76,-36.65
SZ300431,,-767.06,-90.95
SZ300432,4.00,3.31,61.70
SZ300433,2.35,3.62,14.18
SZ300434,2.65,13.09,-5.80
SZ300435,4.57,10.42,-4.79
SZ300436,-20.40,-33.71,-4.27
SZ300437,-1.82,-6.06,-26.25
SZ300438,-1.69,-2.43,13.99
SZ300439,1.92,7.55,-22.43
SZ300440,1.02,6.07,23.65
SZ300441,4.83,15.95,-39.40
SZ300442,8.47,35.27,15.31
SZ300443,3.07,14.63,79.85
SZ300444,6.13,4.55,41.95
SZ300445,4.43,21.36,3.76
SZ300446,7.18,10.84,8.65
SZ300448,-1.23,-8.25,76.41
SZ300449,-8.22,-35.01,52.56
SZ300450,6.20,10.82,14.92
SZ300451,-1.84,-12.54,-20.65
SZ300453,8.35,16.72,10.83
SZ300454,-2.50,-7.56,11.16
SZ300455,-8.69,-31.25,3.77
